Default Sort	Region	Language Name	Language Tag	Lead Network	Status (also see Grafana)	URL	Notes							
18	Africa	Amharic	am		Level 3									
19	Africa	French	fr		Published	https://git.door43.org/Door43-Catalog/fr_tn	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/215	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/355						
20	Africa	Fulfulde	ff											
21	Africa	Hausa	ha		Level 3									
22	Africa	Malagasy Plateau	plt											
23	Africa	Swahili	sw		Published at Level 3	https://git.door43.org/Door43-Catalog/sw_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/173							
24	Eurasia	Hungarian	hu											
25	Eurasia	Russian	ru		Publshed tN TSV for tit (488) Published BP tit, 2jn, 3jn Published BP update 1ti, 2ti, tit, 2jn, 3jn Published BP update: 1ti, 2ti, tit, 2jn Published BP update: 1ti, 2ti, tit, 2jn, 3jn	https://git.door43.org/door43-catalog/ru_tn	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/488	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/534	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/558	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/609	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/620	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/622	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/625	
26	Eurasia	Croatian	hr	TP	MD format Published: mat, mrk, luk, 1co, 2co, gal, eph, php, col, 1th, 2th, 1ti, 2ti, tit, phm, heb, jas,  jhn (#377)  act (#396) gal, eph, phl, col, 1th (#427) 1jn, 2jn, 3jn (#397) 1pe, 2pe, jud, rev (#369)  STR submitted for correction: rom (#404)	https://git.door43.org/Door43-Catalog/hr_tn/	STRs: 371, 367, 358, 343, 337, 319, 317, 282, 272, 258, 246, 245, 242, 241, 233	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/377	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/371	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/396	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/397	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/404	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/427	
27	MENA-Pak	Arabic	ar											
28	MENA-Pak	Pashto	ps											
29	MENA-Pak	Persian	fa											
30	MENA-Pak	Urdu	ur											
31	Asia	Burmese	my											
32	Asia	Cebuano	ceb		Published at Level 3	https://git.door43.org/Door43-Catalog/ceb_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/164							
33	Asia	Ilocano	ilo		Published at Level 3	https://git.door43.org/Door43-Catalog/ilo_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/159							
34	Asia	Khmer	kh											
35	Asia	Laotian	lo											
36	Asia	Malaysian	ms											
37	Asia	Mandarin	zh		1 book Level 1 (info from Rick Gray 2018-06-21)	https://git.door43.org/explore/repos?q=zh%25tn&tab=								
38	Asia	Tagalog	tl		Published at Level 3	https://git.door43.org/Door43-Catalog/tl_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/153							
39	Asia	Thai	th		Level 1									
40	Asia	Vietnamese	vi		Published	https://git.door43.org/Door43-Catalog/vi_tn	https://git.door43.org/Door43/SourceTextRequestForm/issues/112							
41	Pacific	Bislama	bi											
42	Pacific	Indonesian	id		Published (md format)	https://git.door43.org/Door43-catalog/id_tn	https://git.door43.org/unfoldingWord/SourceTextRequestForm/issues/292							
43	Pacific	Papuan Malay	pmy	Yayasan Bahtraku	Finished but no STR (per Christov), source Indo GL	https://git.door43.org/ezar.chandra/pmy_tn_L3								
44	Pacific	Tok Pisin	tpi											
